tau,seed,bm_error
0.01,0,908263.6421875
0.01,1,38433054067.2
0.01,2,219166975180.8
0.05,0,14848307507.2
0.05,1,43.72803945541382
0.05,2,247657061580.8
0.1,0,23008.485546875
0.1,1,0.03358171433210373
0.1,2,92801374.4
0.5,0,0.018232458829879762
0.5,1,0.025789040327072143
0.5,2,0.013145685568451882
1.0,0,0.016792349331080914
1.0,1,0.01772541254758835
1.0,2,0.0148469477891922
10.0,0,0.01660213526338339
10.0,1,0.02339903451502323
10.0,2,0.01424686349928379
20.0,0,0.04428964182734489
20.0,1,0.01639618184417486
20.0,2,0.011647716350853442
